tier,concept,repo_path_or_url,title,date,words,proposed_page,publishability,why_it_matters
0,OS30 OS31 OS32 survivability,team/humans/dinis_cruz/briefs/07/24/sovereignty-and-osmm/v0.33.51__arch-brief__sg-send-ontology-sovereignty-maturity-model-osmm-fractal-predicates-change-of-control-stress-test.md,"The Ontology Sovereignty Maturity Model (OSMM): Sovereignty As A Property Of The Graph, Computed Not Claimed",2026-07-24,3459,/survivability/,clean,"THE SITE'S BEST ORIGINAL IDEA. 'Survivable is not a property of the licence file. It is a property of the copyright and trademark structure.' Plus the four-leg Change-of-Control Stress Test, and the mechanism behind every 2018-2024 relicensing. IMPLIES A SELF-AUDIT: SGraph's copyright is single-holder."
0,OS34 OS35 OS36 bounties,team/humans/dinis_cruz/briefs/07/24/sovereignty-and-osmm/v0.33.51__strategy-brief__sg-send-sovereignty-bounties-grant-funded-migration-off-proprietary-platforms-survival-milestones-vendor-sponsored-proof-of-no-lock-in.md,"Sovereignty Bounties: Grant-Funded Migration Paths Off Proprietary Platforms, Milestones Paid On Customers Still There A Year Later, And The Vendor Who Sponsors Its Own Exit",2026-07-24,4205,/funding/bounties/,clean,"STRONGEST SINGLE IDEA. Fund the substitution side, not the supply side. 'Every one of those programmes funds the supply side... None of them funds the substitution side.' Plus bounty size as a published lock-in metric and vendor-sponsored proof of no lock-in."
0,OS7-OS11 strategy not charity,team/humans/dinis_cruz/briefs/07/17/open-source-strategy/v0.33.49__strategy-brief__sg-send-open-source-as-strategy-not-charity-gen-ai-startups-no-tech-moat-lock-in-in-quality-and-certification-share-across-companies.md,"Open Source As Strategy, Not Charity: No Tech Moat, Lock-In In Quality And Certification, Shared Across Companies",2026-07-17,2378,/views/strategy-not-charity/,OPEN-CORE FLAG,"'the power of open source is not for the community... it is not to give back.' THE THESIS. ALSO the 17 Jul half of the open-core contradiction, and it diagnoses itself: 'this is open-core, and worth saying so plainly'."
0,OS12-OS16 the line,team/humans/dinis_cruz/briefs/06/18/agentic-permissions/v0.33.40__strategy-brief__open-source-strategy-everything-open-line-at-the-customer-compete-on-value.md,"The Open Source Strategy: Everything Open, The Line At The Customer",2026-06-18,2016,/practice/the-line/,OPEN-CORE FLAG,"'There should be nothing proprietary.' THE 18 JUN HALF of the contradiction. Also the customer boundary, rent extraction as a losing game, and 'I am yet to see evidence that open source is a deterrent to the business.'"
0,"OS17-OS23 not free, freedom",team/humans/dinis_cruz/briefs/06/04/nhi-2.0/v0.32.3__strategy-brief__sg-send-nhi-2.0-open-source-not-free-freedom-trust-moat.md,"Open Source Is Not Free: Freedom, No Lock-In, And Selling Trust",2026-06-04,3646,/views/not-free/,clean,"SIX ORIGINAL CONCEPTS IN ONE FILE. 'open source is not free, somebody is always paying for it. What you get is freedom.' Lock-in degrades your own architecture; cannibalise your own code; the value-margin question; the 10% subset; the AI-slop finding."
0,OS1-OS5 sovereignty,team/humans/dinis_cruz/briefs/06/13/open-source-and-sovereignty/v0.33.26__strategy-brief__sovereignty-requires-open-source-code-and-data-schemas-thesis.md,You Cannot Have Sovereignty Without Open Source,2026-06-13,1749,/views/sovereignty/,clean,THE FOUR-STEP SOVEREIGNTY ARGUMENT. 'you are one SLA away from losing access.' 'A European company gets acquired by a US company and the sovereignty moves.' Note step 4 IS step 1 of the survivability argument at a different scale.
0,OS6 the success paradox,team/humans/dinis_cruz/briefs/06/13/open-source-and-sovereignty/v0.33.26__research-brief__open-source-success-paradox-evidence-business-models-maintenance.md,The Open-Source Success Paradox: Evidence For The Thesis,2026-06-13,1990,/history/,VERIFY NUMBERS,"'open source is ridiculously successful yet underappreciated... its real weakness is the commercial and economic model rather than the technology.' CITES THE $8.8tn FIGURE WITHOUT ITS DEFINITION - see 03__ section 4. Also OpenSSL's $2,000 budget, xz, the 3-or-fewer maintainer statistic."
0,OS26-OS29 organic food,team/humans/dinis_cruz/briefs/03/29/v0.19.7__article__opensource-organic-food-model.md,The Organic Food Model for Open Source,2026-03-29,1074,/funding/,clean,"A GENUINE ESSAY - can go up nearly untouched. 'Charity will not fix this... The only thing that will fix this is market forces.' Plus the restaurant-health-rating image, and 'paying for open source is cheaper than not paying'."
0,OS37 OS38 OS39 the villagers,team/humans/dinis_cruz/briefs/07/31/markets-and-field-demo/v0.33.54__strategy-brief__sg-send-somebody-has-to-be-the-villagers-maintaining-non-functional-requirements-scarce-asset.md,"Somebody Has To Be The Villagers: Maintaining What The Explorers Built, And Why The Displaced Firms Hold The Scarce Asset",2026-07-31,3059,/views/villagers/,CARE,NFR maintenance as a market; code-reading as the appreciating scarce asset. SHARED WITH wardley-maps.sgit.ai - see 07__ section 6. CARE: the M&A statistic and seven market figures are loosely attributed; the brief itself flags the problem.
0,OS45 + agents read code,team/humans/dinis_cruz/briefs/03/21/v0.16.26__article__who-should-read-the-code.md,Who Should Be Reading the Code?,2026-03-21,1521,/agents/reading-code/,clean,"A GENUINE ESSAY. The abstraction critique - 'Applications with 2,000 dependencies. CI pipelines that download half the internet.' AND the 21 Mar half of the junior-pipeline contradiction: 'The density of learning per hour increases.'"
0,OS40 OS41 maintainer platform,team/humans/dinis_cruz/briefs/05/11/v0.27.32__strategy-brief__package-manager-commercial-model.md,SG/Compute Package Manager: Commercial Model for Upstream Maintainers,2026-05-11,2781,/funding/platform/,clean,'The relationship is missing because the platform is missing.' 'A consultancy can study the package. The maintainer IS the package.' And the principle that stays: 'It does not pull docs behind paywalls... That generosity is a core principle of open source and it stays.'
